language,group,n,y
Italian,untranslated,0,0
French,untranslated,17,0.0029000341180484474
Russian,untranslated,95,0.016206073012623678
Lithuanian,untranslated,99,0.016888433981576252
German,untranslated,265,0.045206414193108155
Polish,untranslated,266,0.0453770044353463
Chinese_TW,untranslated,274,0.04674172637325145
Japanese,untranslated,496,0.08461276015011941
Chinese_CN,untranslated,529,0.09024223814397817
Portuguese_BR,untranslated,1017,0.17349027635619244
Korean,untranslated,1168,0.19924940293415216
Norwegian Nynorsk,untranslated,3457,0.5897304674172638
Turkish,untranslated,3484,0.5943364039576936
Danish,untranslated,3613,0.6163425452064142
Spanish,untranslated,3918,0.6683725690890481
Spanish,translated,1522,0.25963834868645513
Danish,translated,1778,0.30330945069942
Turkish,translated,1846,0.31490958717161377
Norwegian Nynorsk,translated,1866,0.31832139201637666
Portuguese_BR,translated,3864,0.6591606960081884
Korean,translated,4495,0.7668031388604571
Chinese_CN,translated,4851,0.8275332650972365
Japanese,translated,5005,0.8538041624019106
Chinese_TW,translated,5368,0.9157284203343569
Polish,translated,5370,0.9160696008188332
German,translated,5371,0.9162401910610714
Lithuanian,translated,5677,0.9684408051859433
Russian,translated,5693,0.9711702490617536
French,translated,5804,0.9901057659501876
Italian,translated,5980,1
Italian,fuzzy,0,0
French,fuzzy,41,0.0069941999317639034
Russian,fuzzy,74,0.012623677925622655
Lithuanian,fuzzy,86,0.014670760832480383
Korean,fuzzy,199,0.03394745820539065
Chinese_TW,fuzzy,220,0.037529853292391675
German,fuzzy,226,0.03855339474582054
Polish,fuzzy,226,0.03855339474582054
Japanese,fuzzy,361,0.061583077447969974
Spanish,fuzzy,422,0.07198908222449676
Danish,fuzzy,471,0.08034800409416581
Chinese_CN,fuzzy,482,0.0822244967587854
Turkish,fuzzy,532,0.0907540088706926
Norwegian Nynorsk,fuzzy,539,0.09194814056635961
Portuguese_BR,fuzzy,981,0.16734902763561924
